名前,色,香り,口当たり,味,後味
グレン・グラント,濃金色,ドライ,軽やか,甘い,芝生
グレン・キース,青銅色,芝生,充実した,甘い,余韻ある
グレンキンチー,金色,芝生,オイリィ,甘い,香辛料
グレンリベット,青金色,シェリー,しっかり,アロマ,余韻ある
グレンロッキー,濃金色,ドライ,オイリィ,オイリィ,名残惜く
グレンロッシー,濃金色,シェリー,軽やか,甘い,余韻ある
グレン・モール,金色,甘い,軽やか,甘い,アロマ
グレンモーレン ジ,青金色,香辛料,オイリィ,香辛料,余韻ある
グレン・マレイ,青金色,豊潤,しっかり,芝生,芝生
グレン・オード,濃金色,豊潤,スムーズ,甘い,香辛料
グレンロセス,濃金色,豊潤,スムーズ,甘い,スムーズ
グレン・スコシア,濃金色,塩っぽい,軽やか,塩っぽい,余韻ある
グレン・スペイ,金色,軽やか,軽やか,アロマ,軽やか
グレントファース,白ワイン,香辛料,軽やか,甘い,余韻ある
グレンタレット,白ワイン,甘い,しっかり,スモーク,余韻ある
グレンアギー,濃金色,シェリー,オイリィ,香辛料,乾いた
グレンユーリーロイヤル,青銅色,ドライ,しっかり,甘い,長い余韻
ハイランドパーク,琥珀色,シェリー,スムーズ,甘い,フルーツ
インペリアル,濃金色,シェリー,充実した,香辛料,スモーク
インチガワー,金色,豊潤,スムーズ,塩っぽい,余韻ある
インチマリン,濃金色,芝生,オイリィ,香辛料,香辛料
インヴァリーブン,金色,芝生,軽やか,香辛料,フルーツ
アイル・オブ・ジュラ,金色,シェリー,軽やか,塩っぽい,塩っぽい
キンクレイス,青銅色,塩っぽい,軽やか,香辛料,フルーツ
ノッカンドオ,青金色,ドライ,軽やか,塩っぽい,甘い
ノックドゥー,金色,フルーツ,オイリィ,甘い,余韻ある
レディバーン,白ワイン,フルーツ,軽やか,アロマ,大きな
ラガヴーリン,青白琥珀,シェリー,オイリィ,塩っぽい,塩っぽい
ラフロイグ,濃金色,シェリー,オイリィ,塩っぽい,乾いた
リンクウッド,濃金色,豊潤,熟成した,甘い,スムーズ
リトルミル,白ワイン,甘い,軽やか,甘い,フルーツ
ロッホナガー,濃金色,ピート,スムーズ,甘い,甘い
ロッホサイド,琥珀色,豊潤,スムーズ,シェリー,余韻ある
ロングモーン,濃金色,豊潤,しっかり,甘い,すっきり
マッカラン,琥珀色,豊潤,充実した,甘い,香辛料
マクダフ,赤色,豊潤,スムーズ,甘い,余韻ある
ミルトンダフ,青金色,芝生,しっかり,アロマ,アロマ
モルトラック,青白琥珀,豊潤,充実した,甘い,余韻ある
ノース・ポート,濃金色,シェリー,軽やか,甘い,乾いた
オーバン,琥珀色,塩っぽい,しっかり,甘い,香辛料
ポート・エレン,琥珀色,香辛料,スムーズ,アロマ,余韻ある
プルトニー,琥珀色,塩っぽい,しっかり,塩っぽい,余韻ある
ローズバンク,琥珀色,シェリー,軽やか,芝生,乾いた
セントマグデラン,赤色,シェリー,軽やか,甘い,芝生
スキャパ,琥珀色,塩っぽい,中程度,塩っぽい,オイリィ
シングルトン,濃琥珀色,シェリー,スムーズ,香辛料,スモーク
スペイバーン,青銅色,シェリー,スムーズ,甘い,名残惜く
スプリングバンク,金色,豊潤,軽やか,塩っぽい,長い余韻
スプリングバンク・ロングロー,金色,塩っぽい,オイリィ,スモーク,あっさり
ストラスアイラ,琥珀色,豊潤,しっかり,甘い,あっさり
タリスカー,赤色,豊潤,オイリィ,香辛料,余韻ある
タムドゥー,青白琥珀,シェリー,軽やか,アロマ,充実した
タムナヴーリン,白ワイン,芝生,軽やか,芝生,アロマ
テナニヤック,青白琥珀,ドライ,中程度,香辛料,スモーク
トバモリー,濃金色,軽やか,中程度,スモーク,アロマ
トマーチン,濃金色,ドライ,スムーズ,香辛料,オイリィ
トミントゥール,濃金色,芝生,軽やか,甘い,余韻ある
トーモア,濃金色,フルーツ,スムーズ,スムーズ,長い余韻
タリバーディン,金色,甘い,しっかり,甘い,アロマ
